age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,y
30,management,married,secondary,no,5000,yes,no,cellular,1,jan,72,1,0,0,failure,no
35,self-employed,married,secondary,no,52,yes,no,cellular,5,nov,0,4,0,0,other,no
30,admin.,single,secondary,no,1000,yes,no,cellular,13,jan,120,5,0,1,success,yes
30,student,single,secondary,no,0,yes,no,cellular,5,jan,120,1,-1,0,failure,no
30,technician,married,secondary,no,0,yes,no,cellular,5,apr,120,1,0,0,failure,no
24,student,single,secondary,no,0,yes,no,cellular,5,may,120,2,0,0,failure,no
25,management,married,secondary,no,1000,yes,no,cellular,20,may,120,1,0,0,success,yes
49,entrepreneur,single,primary,no,1000,yes,no,cellular,1,jan,120,1,0,0,success,yes
25,technician,married,secondary,no,290,no,no,cellular,5,mar,499,1,0,0,success,yes
05,management,married,tertiary,no,0,no,no,cellular,1,jan,10,1,-1,0,failure,no
05,unemployed,married,tertiary,no,1049,yes,no,cellular,5,may,111,1,0,0,failure,no
30,blue-collar,married,secondary,no,1000,yes,no,cellular,5,may,120,1,0,0,success,yes
30,student,single,tertiary,no,1000,yes,no,cellular,5,jun,19,1,0,0,failure,no
30,services,married,secondary,no,1000,yes,no,cellular,5,may,120,1,-1,0,success,yes
45,blue-collar,married,primary,no,0,yes,no,cellular,1,jul,10,1,0,0,failure,no
30,student,single,primary,no,1000,yes,no,cellular,5,may,120,3,0,1,success,no
05,technician,single,secondary,no,104,yes,no,cellular,5,may,120,1,0,0,failure,no
09,student,married,tertiary,no,0,no,no,cellular,8,jan,06,1,0,0,failure,no
30,blue-collar,single,secondary,no,1000,yes,no,cellular,5,may,120,1,0,0,success,yes
44,blue-collar,married,primary,no,0,yes,no,cellular,1,jan,10,1,-1,0,failure,no
30,technician,married,tertiary,no,2000,no,no,cellular,5,may,120,1,0,0,success,no
30,technician,divorced,secondary,no,414,yes,no,cellular,5,jan,120,1,0,0,success,no
30,self-employed,married,tertiary,no,1000,yes,no,cellular,5,may,120,4,0,0,success,yes
25,blue-collar,single,secondary,no,1500,yes,no,cellular,27,may,120,2,0,1,success,yes
30,services,married,secondary,no,1000,yes,no,cellular,5,mar,120,1,0,0,success,yes
30,retired,single,secondary,no,1000,yes,no,cellular,5,jun,120,3,0,1,success,yes
28,management,married,tertiary,no,3228,no,no,cellular,5,may,120,2,-1,1,success,yes
35,blue-collar,married,secondary,no,0,yes,no,telephone,1,jan,10,1,272,9,failure,no
30,blue-collar,married,secondary,no,1000,yes,no,cellular,1,jan,120,2,0,0,success,yes
30,services,single,secondary,no,562,yes,no,cellular,28,mar,8,1,0,0,other,no
25,student,single,secondary,no,1000,yes,no,cellular,5,may,120,8,0,0,success,yes
25,technician,single,tertiary,no,1000,yes,no,cellular,5,jun,120,2,0,1,success,yes
25,student,single,secondary,no,-413,yes,no,cellular,5,may,120,1,0,0,success,yes
30,management,single,tertiary,no,1000,yes,no,cellular,5,jun,120,1,0,0,success,yes
03,admin.,single,tertiary,no,0,yes,no,cellular,1,may,10,1,0,0,failure,no
30,blue-collar,single,secondary,no,1000,yes,no,cellular,5,mar,120,1,0,0,success,yes
43,services,single,tertiary,no,0,no,no,cellular,1,may,100,1,0,0,failure,no
30,student,single,primary,no,1000,yes,no,telephone,15,mar,120,1,0,0,success,yes
30,blue-collar,single,secondary,no,0,yes,no,cellular,5,feb,100,1,0,0,failure,no
30,management,married,tertiary,no,3047,yes,no,cellular,30,jan,300,1,0,0,other,no
30,student,single,tertiary,no,1000,yes,no,cellular,5,jan,120,1,0,0,success,yes
06,admin.,married,secondary,no,0,yes,no,cellular,1,may,60,1,0,0,success,yes
24,services,single,secondary,no,0,yes,no,cellular,3,jan,211,1,337,0,failure,no
30,blue-collar,married,secondary,no,1000,yes,no,cellular,5,may,120,1,0,0,success,yes
