AAGE,ACLSWKR,ADTINK,ADTOCC,AHGA,AHSCOL,AMARITL,AMJIND,AMJOCC,ARACE,AREORGN,ASEX,AUNMEM,AUNTYPE,AWKSTAT,CAPGAIN,GAPLOSS,DIVVAL,FILESTAT,GRINREG,GRINST,HHDFMX,HHDREL,MARSUPWRT,MIGMTR1,MIGMTR3,MIGMTR4,MIGSAME,MIGSUN,NOEMP,PARENT,PEFNTVTY,PEMNTVTY,PENATVTY,PRCITSHP,SEOTR,VETQVA,VETYN,WKSWORK,AHRSPAY,year,income
30,Private,01,01,High school graduate,High school,Married-civilian spouse present,Finance insurance and real estate, Executive admin and managerial,White,All other,Female,No,Not in universe,Full-time schedules,0,0,1,Joint both under 65,Midwest,Illinois,Householder,Spouse of householder,2000.00, Nonmover,Nonmover,Nonmover,Yes,No,6,Both parents present,United-States,United-States, United-States,Native- Born in the United States,0,No,0,40,5000,95,50000+.
18, Not in universe,1,1,Children, Not in universe,Never married,Not in universe or children,Not in universe,White,All other, Female,No,Not in universe,Children or Armed Forces,0,0,1,Single,Not in universe,Not in universe,Child under 18 never married,Child under 18 never married,0000.00,Not in universe,Not in universe,Not in universe, Not in universe under 1 year old,No,0, Both parents present,United-States,United-States,United-States,Native- Born in the United States,0,No,0,0,0000,94,-50000
18, Not in universe,1,1, 9th grade, Not in universe, Never married, Not in universe or children, Not in universe, Black, All other, Male, No, Not in universe, Not in labor force,0,0,0, Nonfiler, Midwest, Minnesota, Householder, Householder,4423.61, Nonmover, Same county, Same county, No, No,1, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, No,0,0,0,95, 50000+.
06,Not in universe,01,01,High school graduate,High school,Never married,Not in universe or children,Not in universe,White,Mexican (Mexicano),Female,No,Not in universe,Children or Armed Forces,0,0,01,Nonfiler,Not in universe,Not in universe,Child under 18 never married,Child under 18 never married,1391.12,Not in universe,Not in universe,Not in universe,No,No,0,Both parents present,Mexico,Mexico,United States,Native- Born in the United States,0,No,0,01,0000,94,-50000
00, Not in universe,00,00,Some college but no degree,Not in universe,Widowed,Not in universe or children,Not in universe,Other,All other,Female, Not in universe,Not in universe,Not in labor force,0,0,0,Single,Not in universe, Not in universe,Nonfamily householder,Householder,0000.00,Nonmover,Nonmover,Nonmover,No, Not in universe,0,Neither parent present,United-States,United-States,United-States,Native- Born in the United States,0,No,0,00,0,94,-50000
18, Not in universe,01,01,High school graduate,Not in universe,Never married,Not in universe or children,Not in universe,White,Mexican (Mexicano),Female,No,Not in universe,Not in labor force,0,0,0,Single, Not in universe,Not in universe,Child under 18 never married,Child under 18 never married,500.00,Not in universe,Not in universe,Not in universe,No,No,0,Both parents present,Mexico,Mexico,Mexico,Native- Born in the United States,0,No,0,0,5000,94,-50000
25, Not in universe,1,1, High school graduate, High school, Widowed, Not in universe or children, Not in universe, White, All other, Female, No, Not in universe, Not in labor force,0,0,1, Head of household, Midwest, Illinois, Householder, Householder,100.00, Nonmover, Same county, Same county, Yes, No,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,1,1000,94,50000+.
25, Not in universe,01,01, High school graduate, High school, Never married, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Not in labor force,0,0,0, Single, Not in universe, Not in universe, Householder, Child under 18 never married,0000.00, Nonmover, Nonmover, Nonmover, Yes, No,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, No,0,01,0000,94, 50000+.
25,Not in universe,0,0,Children,Not in universe,Never married,Not in universe or children, Not in universe,Black,Other,Male,Not in universe,Not in universe,Children or Armed Forces,0,0,0,Nonfiler,Not in universe, Not in universe,Child under 18 never married,Child under 18 never married,141.0,Not in universe,Not in universe,Not in universe,No,No,0,Neither parent present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,0,1,0,94,-50000
58,Not in universe,01,01,High school graduate,Not in universe,Married-spouse absent,Agriculture, Farming forestry and fishing,White,All other, Male,No,Not in universe,Full-time schedules,0,0,01,Head of household,Midwest,Illinois,Householder,Householder,000.00,Nonmover,Nonmover,Nonmover,No,No,0,Both parents present,United-States,United-States,United-States, Native- Born in the United States,0,No,0,01,0,95,-50000
18,Private,01,01,High school graduate,High school,Divorced,Construction,Executive admin and managerial,White,All other, Female,No,Not in universe,Children or Armed Forces,0,0,0,Head of household,Not in universe,Not in universe,Householder,Householder,000.00, Nonmover, Nonmover, Nonmover,Yes,No,0,Both parents present,United-States,United-States,United-States,Native- Born in the United States,0,No,0,40,4000,94,50000+.
30,Private,01,01,High school graduate,High school,Married-civilian spouse present,Personal services except private HH,Other service, Black,All other,Female,No, Not in universe,Full-time schedules,0,0,0,Head of household,Midwest,North Carolina, Spouse of householder,Spouse of householder,101.45,Nonmover,Same county,Same county, Not in universe under 1 year old,No,6,Both parents present, United-States,United-States, United-States,Native- Born in the United States,0,No,0,40,5000,95,50000+.
41,Private,07,01,Bachelors degree(BA AB BS), Not in universe,Married-civilian spouse present,Manufacturing-durable goods,Professional specialty,White,All other,Male,No,Not in universe,Children or Armed Forces,0,0,5,Joint both under 65,Not in universe,Not in universe,Householder,Householder,7500.00,Nonmover,Not in universe,Nonmover,Yes,No,0,Both parents present,United-States,United-States,United-States, Native- Born in the United States,0,No,0,40,5000,95,50000+.
09,Not in universe,01,01, 1st 2nd 3rd or 4th grade,Not in universe,Never married,Agriculture,Not in universe,Other,Mexican (Mexicano), Female, Not in universe,Job loser - on layoff,Unemployed full-time,0,0,0,Joint both under 65,Not in universe, Not in universe,Spouse of householder,Spouse of householder,0000.00,Not in universe,Not in universe,Not in universe,No,No,0,Both parents present,Mexico,Mexico,Mexico, Foreign born- Not a citizen of U S ,0,No,0,00,0000,94,-50000
25,Private,01,01,Bachelors degree(BA AB BS),College or university,Married-civilian spouse present,Manufacturing-durable goods,Executive admin and managerial,White,All other,Male,No,Job leaver,Full-time schedules,0,0,1000,Joint both under 65,Midwest,Illinois,Householder,Spouse of householder,106.40,Nonmover,Same county,Same county,Yes,No,0,Both parents present,United-States,United-States,United-States,Native- Born in the United States,0,No,2,52,5000,95,50000+.
