age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,y
36,management,married,tertiary,no,5,yes,no,cellular,18,nov,72,2,-1,1,failure,no
35,self-employed,married,secondary,no,524,yes,no,cellular,21,nov,48,4,-1,0,failure,no
36,management,married,secondary,no,0,no,no,cellular,13,may,30,2,-1,0,failure,no
48,services,married,secondary,no,622,yes,no,cellular,2,feb,3,1,-1,9,failure,no
33,technician,married,secondary,no,10,yes,no,cellular,20,apr,156,1,35,2,failure,no
24,student,single,primary,no,745,no,no,telephone,8,apr,93,2,-1,9,failure,no
20,management,married,tertiary,no,5506,no,no,cellular,20,nov,47,1,-1,1,success,no
49,entrepreneur,married,primary,no,10772,no,no,cellular,8,aug,89,2,35,1,failure,no
47,blue-collar,married,secondary,no,2159,no,no,cellular,3,mar,9,2,-1,1,failure,yes
36,management,married,tertiary,no,346,no,no,cellular,8,aug,3,3,-1,0,failure,no
30,unemployed,married,tertiary,no,1849,yes,no,cellular,15,mar,111,1,-1,0,failure,no
48,blue-collar,married,secondary,no,10,no,no,cellular,1,jul,59,3,35,0,failure,no
22,self-employed,single,tertiary,no,3,yes,no,cellular,20,jun,19,1,-1,1,failure,no
36,management,married,primary,no,47,no,no,cellular,5,jun,10,4,-1,0,failure,no
45,blue-collar,married,secondary,no,-455,yes,yes,cellular,31,jul,161,3,91,0,other,no
20,unemployed,married,primary,no,0,no,no,cellular,5,jun,23,2,91,0,failure,no
55,technician,married,secondary,no,304,yes,yes,cellular,12,may,224,1,91,0,failure,no
23,management,married,tertiary,no,198,no,no,cellular,8,jul,665,1,35,0,failure,yes
42,blue-collar,married,primary,no,15,yes,no,cellular,1,jul,98,3,-1,0,failure,no
27,blue-collar,married,primary,no,0,yes,no,cellular,6,may,17,1,-1,1,failure,no
37,technician,married,tertiary,no,732,no,no,cellular,25,may,254,2,-1,0,failure,no
44,technician,divorced,secondary,no,414,yes,yes,cellular,1,jun,81,2,34,0,success,no
40,self-employed,married,tertiary,no,271,no,no,cellular,1,aug,265,4,91,0,failure,no
30,blue-collar,married,primary,no,559,yes,no,telephone,27,may,89,5,-1,1,other,no
36,services,married,secondary,no,24,no,no,cellular,2,mar,139,1,-1,0,failure,no
20,retired,married,primary,no,3,no,no,cellular,17,sep,152,2,35,2,failure,no
20,management,married,tertiary,no,3228,no,no,cellular,1,jul,59,2,-1,0,failure,no
35,blue-collar,married,secondary,no,300,yes,no,telephone,6,feb,10,7,272,9,failure,no
30,blue-collar,married,secondary,no,3,yes,yes,cellular,12,may,326,2,-1,1,failure,no
48,services,divorced,secondary,no,1,no,yes,cellular,28,may,3,1,-1,0,other,no
43,technician,married,tertiary,no,17,no,no,cellular,27,jul,14,8,-1,0,other,no
20,technician,single,tertiary,no,67,no,no,cellular,1,jan,866,2,15,0,success,yes
20,technician,married,secondary,no,-413,yes,no,cellular,1,aug,100,2,35,0,failure,no
20,management,single,tertiary,no,36,no,no,cellular,8,jul,617,2,-1,0,failure,yes
40,admin.,married,tertiary,no,11,yes,no,cellular,11,oct,61,1,76,3,failure,no
36,blue-collar,married,secondary,no,1,yes,no,cellular,9,jul,183,1,-1,0,failure,no
43,services,single,tertiary,no,1,no,no,cellular,11,may,23,1,-1,0,failure,no
28,blue-collar,divorced,primary,no,1097,no,no,telephone,1,mar,11,1,126,0,failure,yes
20,blue-collar,single,secondary,no,603,yes,no,cellular,2,feb,98,1,97,17,failure,no
34,management,married,tertiary,no,3047,no,no,cellular,30,apr,25,1,35,1,other,no
30,admin.,single,tertiary,no,33,yes,no,cellular,1,feb,396,1,13,0,failure,no
60,admin.,married,secondary,no,369,yes,no,cellular,19,may,3,1,-1,0,failure,no
24,services,single,secondary,no,280,yes,no,cellular,8,may,211,2,337,1,other,no
39,admin.,married,secondary,no,58544,yes,no,cellular,1,mar,144,1,-1,0,failure,no
59,blue-collar,single,secondary,no,1,yes,no,cellular,1,may,103,1,-1,0,failure,yes
47,self-employed,divorced,secondary,no,15,yes,no,cellular,20,may,14,7,91,4,other,no
20,management,married,primary,no,1727,no,no,telephone,1,aug,500,1,358,1,failure,yes
20,technician,married,secondary,no,24,yes,no,cellular,13,aug,136,1,180,2,failure,no
43,technician,married,secondary,no,1937,no,no,cellular,5,may,81,1,-1,0,failure,no
27,student,single,secondary,no,538,no,no,cellular,1,jun,14,2,-1,2,success,yes
30,admin.,single,secondary,no,1,yes,yes,cellular,15,apr,66,2,126,1,failure,no
31,management,married,secondary,no,2294,no,no,cellular,20,aug,483,2,-1,0,failure,no
53,housemaid,married,primary,no,1103,no,no,cellular,22,jul,274,1,35,0,failure,no
24,blue-collar,married,primary,no,6,yes,no,cellular,18,aug,10,1,23,0,failure,no
20,blue-collar,single,secondary,no,5,no,no,cellular,1,may,268,1,35,0,failure,no
31,admin.,single,secondary,yes,5,no,no,cellular,3,jul,26,3,91,0,failure,no
51,blue-collar,married,primary,no,864,yes,no,cellular,13,jul,331,1,-1,0,failure,no
40,blue-collar,married,secondary,no,-19,yes,no,cellular,15,jul,231,1,-1,0,failure,no
20,management,single,tertiary,no,37,no,no,cellular,8,jul,120,1,-1,1,failure,no
20,blue-collar,single,secondary,no,603,no,no,cellular,6,jun,58,2,-1,1,failure,no
33,services,married,secondary,no,0,yes,yes,cellular,7,may,112,2,-1,0,failure,no
27,management,single,tertiary,no,13,yes,no,cellular,1,feb,344,2,-1,1,failure,no
26,admin.,married,tertiary,no,685,no,no,cellular,8,may,46,1,-1,0,failure,no
38,services,married,secondary,no,643,no,no,cellular,3,mar,193,2,35,7,failure,no
39,technician,married,tertiary,no,13410,no,yes,cellular,14,aug,149,2,-1,0,failure,no
35,management,single,tertiary,no,62,yes,no,cellular,11,apr,23,4,35,0,failure,yes
20,management,married,tertiary,no,448,no,no,cellular,8,apr,234,1,91,0,failure,yes
36,student,single,secondary,no,430,yes,no,cellular,14,may,10,1,-1,0,failure,no
36,management,married,tertiary,no,4,no,no,cellular,8,aug,129,2,35,0,failure,no
47,technician,divorced,secondary,no,4,yes,no,cellular,1,mar,3,1,-1,0,other,no
43,technician,married,secondary,no,629,no,no,cellular,5,aug,26,1,-1,0,failure,no
25,blue-collar,married,secondary,no,4731,yes,no,cellular,2,jun,3,1,-1,0,failure,no
43,blue-collar,married,primary,no,61,no,no,cellular,1,mar,87,2,91,0,failure,no
48,blue-collar,married,primary,no,1,no,no,cellular,2,aug,156,1,13,0,failure,no
36,technician,divorced,secondary,no,79,yes,no,cellular,10,jul,70,8,-1,0,failure,no
20,blue-collar,single,secondary,no,8,no,yes,cellular,8,jul,87,2,91,0,success,yes
34,management,married,tertiary,no,25,no,no,cellular,26,may,107,2,-1,0,failure,no
20,blue-collar,single,primary,no,1531,yes,no,cellular,1,jul,81,3,170,7,failure,no
55,technician,married,secondary,no,1174,yes,no,cellular,15,may,301,1,-1,0,failure,no
36,technician,divorced,secondary,no,91,no,no,cellular,4,aug,3,1,35,6,failure,no
25,blue-collar,married,secondary,no,410,yes,no,cellular,2,feb,136,2,35,0,failure,no
59,services,married,secondary,no,1,yes,no,cellular,12,mar,74,3,25,0,failure,yes
30,management,divorced,tertiary,no,726,yes,no,cellular,11,feb,24,1,-1,0,failure,no
30,blue-collar,married,secondary,no,246,yes,no,cellular,18,nov,166,2,123,5,failure,no
59,management,married,tertiary,yes,782,no,yes,cellular,13,aug,17,2,-1,0,failure,no
55,retired,married,secondary,no,705,yes,no,cellular,14,may,90,2,370,2,failure,no
58,retired,married,primary,no,67,no,no,cellular,1,jul,82,1,-1,1,failure,no
48,services,married,secondary,no,202,yes,no,cellular,1,feb,10,1,-1,1,failure,no
36,self-employed,married,tertiary,no,1,yes,no,cellular,20,jun,13,10,-1,0,failure,no
52,management,married,primary,no,8,yes,no,telephone,30,jul,3,2,-1,1,other,no
39,management,married,tertiary,no,676,no,no,cellular,20,jun,8,7,-1,1,failure,no
24,blue-collar,married,primary,no,79,yes,no,cellular,12,mar,32,1,91,0,failure,no
38,management,married,tertiary,no,117,yes,yes,cellular,5,jun,276,2,123,2,failure,no
46,management,married,tertiary,no,3,no,no,cellular,8,feb,295,2,35,1,failure,yes
54,housemaid,married,primary,no,3304,no,yes,cellular,25,jul,90,2,-1,0,failure,no
50,admin.,married,secondary,no,602,no,no,cellular,3,mar,113,2,-1,1,failure,no
39,blue-collar,married,secondary,no,3297,no,no,cellular,13,may,24,1,34,0,failure,no
29,management,single,tertiary,no,54,no,yes,cellular,6,may,257,1,-1,0,failure,no
29,retired,divorced,secondary,no,631,no,no,cellular,9,jul,440,5,182,1,failure,no
47,management,divorced,tertiary,no,794,yes,no,cellular,3,jun,25,1,-1,1,failure,no
47,management,married,tertiary,no,146,no,no,cellular,1,jul,3,1,-1,0,success,no
56,self-employed,married,secondary,no,3,no,no,cellular,1,may,11,1,-1,0,failure,no
33,blue-collar,married,primary,no,898,yes,no,telephone,3,mar,302,1,91,1,failure,no
31,management,single,secondary,no,202,yes,no,cellular,7,may,590,1,35,0,failure,no
35,blue-collar,married,secondary,no,262,no,no,cellular,2,sep,3,1,35,6,failure,no
41,management,divorced,tertiary,no,8106,no,no,cellular,13,nov,3,1,-1,0,failure,no
25,technician,single,secondary,no,9154,yes,no,telephone,4,nov,40,5,-1,0,success,no
46,admin.,divorced,tertiary,no,-363,no,yes,cellular,30,jul,3,11,-1,0,other,no
31,unemployed,single,primary,no,6,no,no,cellular,1,may,193,1,104,1,failure,yes
49,management,divorced,tertiary,no,-69,no,no,cellular,1,aug,14,1,-1,0,failure,no
20,services,single,secondary,no,183,yes,no,cellular,1,jul,60,1,-1,0,failure,no
20,blue-collar,married,secondary,no,320,yes,no,cellular,12,mar,352,1,828,2,failure,yes
33,admin.,single,secondary,no,5,yes,no,cellular,11,may,934,2,358,2,failure,yes
51,blue-collar,married,secondary,no,0,yes,no,cellular,21,nov,8,6,-1,0,failure,no
20,blue-collar,married,secondary,no,378,yes,no,cellular,14,jul,566,2,-1,0,failure,yes
44,unemployed,married,primary,no,51,no,no,cellular,30,jul,289,4,-1,1,other,no
51,management,married,tertiary,no,4,no,no,cellular,3,jul,108,1,-1,0,failure,no
37,management,married,tertiary,no,1300,yes,no,cellular,1,jul,11,1,-1,0,failure,no
20,management,married,tertiary,no,494,no,no,cellular,1,mar,10,2,478,3,failure,no
65,admin.,married,secondary,no,20,no,no,telephone,28,oct,149,1,-1,1,other,no
48,management,married,tertiary,no,0,no,no,cellular,1,aug,3,7,34,0,failure,no
30,services,divorced,secondary,yes,3,yes,no,cellular,11,may,26,4,-1,1,failure,no
26,blue-collar,married,primary,no,3122,no,no,telephone,18,aug,51,12,35,0,failure,no
